,Label (Grouping),HOUSEHOLDS BY TYPE,HOUSEHOLDS BY TYPE!!Total households,HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,"HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present","HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone","HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over","HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present","HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone","HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,HOUSEHOLDS BY TYPE!!Total households!!Average household size,HOUSEHOLDS BY TYPE!!Total households!!Average family size,RELATIONSHIP,RELATIONSHIP!!Population in households,RELATIONSHIP!!Population in households!!Householder,RELATIONSHIP!!Population in households!!Spouse,RELATIONSHIP!!Population in households!!Unmarried partner,RELATIONSHIP!!Population in households!!Child,RELATIONSHIP!!Population in households!!Other relatives,RELATIONSHIP!!Population in households!!Other nonrelatives,MARITAL STATUS,MARITAL STATUS!!Males 15 years and over,MARITAL STATUS!!Males 15 years and over!!Never married,"MARITAL STATUS!!Males 15 years and over!!Now married, except separated",MARITAL STATUS!!Males 15 years and over!!Separated,MARITAL STATUS!!Males 15 years and over!!Widowed,MARITAL STATUS!!Males 15 years and over!!Divorced,MARITAL STATUS!!Females 15 years and over,MARITAL STATUS!!Females 15 years and over!!Never married,"MARITAL STATUS!!Females 15 years and over!!Now married, except separated",MARITAL STATUS!!Females 15 years and over!!Separated,MARITAL STATUS!!Females 15 years and over!!Widowed,MARITAL STATUS!!Females 15 years and over!!Divorced,FERTILITY,FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,"FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old",GRANDPARENTS,GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren,GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren,GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years,GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years,GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years,GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female,GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married,SCHOOL ENROLLMENT,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,"SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool",SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,EDUCATIONAL ATTAINMENT,EDUCATIONAL ATTAINMENT!!Population 25 years and over,EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,VETERAN STATUS,VETERAN STATUS!!Civilian population 18 years and over,VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability,RESIDENCE 1 YEAR AGO,RESIDENCE 1 YEAR AGO!!Population 1 year and over,RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house,RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad),RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.,RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Same county,RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county,RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county!!Same state,RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county!!Different state,RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Abroad,PLACE OF BIRTH,PLACE OF BIRTH!!Total population,PLACE OF BIRTH!!Total population!!Native,PLACE OF BIRTH!!Total population!!Native!!Born in United States,PLACE OF BIRTH!!Total population!!Native!!Born in United States!!State of residence,PLACE OF BIRTH!!Total population!!Native!!Born in United States!!Different state,"PLACE OF BIRTH!!Total population!!Native!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",PLACE OF BIRTH!!Total population!!Foreign-born,U.S. CITIZENSHIP STATUS,U.S. CITIZENSHIP STATUS!!Foreign-born population,U.S. CITIZENSHIP STATUS!!Foreign-born population!!Naturalized U.S. citizen,U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,YEAR OF ENTRY,YEAR OF ENTRY!!Population born outside the United States,YEAR OF ENTRY!!Population born outside the United States!!Native,YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered 2010 or later,YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered before 2010,YEAR OF ENTRY!!Population born outside the United States!!Foreign-born,YEAR OF ENTRY!!Population born outside the United States!!Foreign-born!!Entered 2010 or later,YEAR OF ENTRY!!Population born outside the United States!!Foreign-born!!Entered before 2010,WORLD REGION OF BIRTH OF FOREIGN-BORN,"WORLD REGION OF BIRTH OF FOREIGN-BORN!!Foreign-born population, excluding population born at sea","WORLD REGION OF BIRTH OF FOREIGN-BORN!!Foreign-born population, excluding population born at sea!!Europe","WORLD REGION OF BIRTH OF FOREIGN-BORN!!Foreign-born population, excluding population born at sea!!Asia","WORLD REGION OF BIRTH OF FOREIGN-BORN!!Foreign-born population, excluding population born at sea!!Africa","WORLD REGION OF BIRTH OF FOREIGN-BORN!!Foreign-born population, excluding population born at sea!!Oceania","WORLD REGION OF BIRTH OF FOREIGN-BORN!!Foreign-born population, excluding population born at sea!!Latin America","WORLD REGION OF BIRTH OF FOREIGN-BORN!!Foreign-born population, excluding population born at sea!!Northern America",LANGUAGE SPOKEN AT HOME,LANGUAGE SPOKEN AT HOME!!Population 5 years and over,LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only,LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English,"LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English!!Speak English less than ""very well""",LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish,"LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish!!Speak English less than ""very well""",LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages,"LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages!!Speak English less than ""very well""",LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages,"LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages!!Speak English less than ""very well""",LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages,"LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages!!Speak English less than ""very well""",ANCESTRY,ANCESTRY!!Total population,ANCESTRY!!Total population!!American,ANCESTRY!!Total population!!Arab,ANCESTRY!!Total population!!Czech,ANCESTRY!!Total population!!Danish,ANCESTRY!!Total population!!Dutch,ANCESTRY!!Total population!!English,ANCESTRY!!Total population!!French (except Basque),ANCESTRY!!Total population!!French Canadian,ANCESTRY!!Total population!!German,ANCESTRY!!Total population!!Greek,ANCESTRY!!Total population!!Hungarian,ANCESTRY!!Total population!!Irish,ANCESTRY!!Total population!!Italian,ANCESTRY!!Total population!!Lithuanian,ANCESTRY!!Total population!!Norwegian,ANCESTRY!!Total population!!Polish,ANCESTRY!!Total population!!Portuguese,ANCESTRY!!Total population!!Russian,ANCESTRY!!Total population!!Scotch-Irish,ANCESTRY!!Total population!!Scottish,ANCESTRY!!Total population!!Slovak,ANCESTRY!!Total population!!Subsaharan African,ANCESTRY!!Total population!!Swedish,ANCESTRY!!Total population!!Swiss,ANCESTRY!!Total population!!Ukrainian,ANCESTRY!!Total population!!Welsh,ANCESTRY!!Total population!!West Indian (excluding Hispanic origin groups),COMPUTERS AND INTERNET USE,COMPUTERS AND INTERNET USE!!Total households,COMPUTERS AND INTERNET USE!!Total households!!With a computer,COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2019-2023 Estimates,,"1,969,105",46.5%,16.3%,5.0%,1.8%,18.1%,1.1%,13.6%,4.1%,30.5%,6.0%,16.9%,8.4%,29.1%,32.0%,2.50,3.13,,"4,917,955",40.0%,18.6%,2.0%,29.2%,7.5%,2.7%,,"1,978,662",34.3%,49.8%,1.7%,3.3%,11.0%,"2,145,639",29.2%,45.3%,2.2%,10.2%,13.2%,,"58,129",38.3%,33,49,9,91,22,,"114,315",48.1%,,6.4%,9.5%,8.0%,24.1%,"54,937",64.0%,66.3%,,"1,204,116",5.9%,5.2%,41.2%,21.6%,26.1%,,"3,448,302",3.7%,8.2%,30.3%,21.1%,9.0%,17.0%,10.8%,88.1%,27.8%,,"3,910,346",7.9%,,"4,969,866",16.2%,"1,126,433",4.7%,"2,983,061",14.2%,"860,372",38.3%,,"5,000,035",87.8%,12.2%,11.9%,6.6%,5.3%,2.9%,2.4%,0.3%,,"5,054,253",96.2%,95.2%,68.0%,27.2%,1.0%,3.8%,,"192,039",40.9%,59.1%,,"240,364","48,325",21.4%,78.6%,"192,039",35.3%,64.7%,,"192,039",11.1%,29.0%,4.6%,0.5%,52.1%,2.6%,,"4,759,836",94.1%,5.9%,2.4%,3.9%,1.7%,0.8%,0.2%,0.9%,0.4%,0.3%,0.1%,,"5,054,253",14.2%,0.3%,0.1%,0.1%,0.5%,11.0%,1.2%,0.2%,6.3%,0.2%,0.1%,7.8%,1.7%,0.0%,0.3%,0.6%,0.1%,0.1%,1.2%,1.8%,0.0%,0.7%,0.3%,0.1%,0.1%,0.4%,0.3%,,"1,969,105",92.5%,85.6%
,2014-2018 Estimates,,"1,860,269",47.5%,17.0%,4.0%,1.4%,17.6%,1.1%,12.9%,3.4%,30.9%,6.7%,16.6%,8.0%,30.3%,29.6%,2.55,3.17,,"4,745,881",39.2%,18.6%,1.6%,29.9%,7.8%,2.9%,,"1,893,493",33.4%,50.2%,1.9%,3.1%,11.3%,"2,064,795",27.9%,45.6%,2.8%,10.6%,13.1%,,"60,165",41.5%,39,52,16,99,19,,"118,026",51.4%,,8.6%,9.6%,8.2%,24.9%,"60,640",63.8%,68.1%,,"1,182,234",5.4%,5.1%,41.9%,21.5%,26.1%,,"3,299,958",4.5%,9.7%,30.9%,21.6%,8.3%,15.6%,9.3%,85.8%,24.9%,,"3,753,332",8.9%,,"4,785,040",16.3%,"1,097,072",4.7%,"2,924,082",14.2%,"763,886",40.9%,,"4,809,280",86.1%,13.9%,13.6%,8.2%,5.4%,3.1%,2.3%,0.3%,,"4,864,680",96.5%,95.7%,69.7%,25.9%,0.9%,3.5%,,"168,111",37.5%,62.5%,,"211,507","43,396",14.8%,85.2%,"168,111",22.5%,77.5%,,"168,111",11.3%,31.8%,5.1%,0.5%,49.3%,2.0%,,"4,572,555",94.8%,5.2%,2.1%,3.2%,1.4%,0.8%,0.2%,0.9%,0.4%,0.3%,0.1%,,"4,864,680",16.4%,0.3%,0.1%,0.1%,0.7%,7.1%,1.4%,0.2%,6.4%,0.2%,0.1%,8.4%,1.7%,0.0%,0.3%,0.6%,0.1%,0.2%,1.5%,1.8%,0.0%,1.1%,0.3%,0.1%,0.1%,0.4%,0.2%,,"1,860,269",83.4%,73.3%
,    Statistical Significance,,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*,,c,*,,*,*,*,*,,*,*,,*,*,*,*,*,,*,*,,,,*,*,*,*,*,*,,,*,,*,,,,*,,,,*,*,,*,,,,*,*,*,*,*,*,*,*,*,*,,*,*,,*,,*,,*,,*,*,,*,*,*,*,*,,*,,,,c,*,*,*,*,*,*,,*,*,*,,*,*,*,*,*,*,*,,*,,*,,,*,*,,*,*,*,*,*,*,,,,,,,,c,*,,,,*,*,*,,,*,*,*,,,,,,*,*,,,*,,,,,*,,*,*,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,2019-2023 Estimates,,"267,865",48.4%,20.0%,8.4%,2.8%,20.8%,1.6%,15.2%,4.3%,22.4%,4.1%,13.1%,5.3%,31.9%,26.7%,2.63,3.26,,"703,871",38.1%,18.3%,3.3%,30.2%,6.6%,3.6%,,"308,257",37.8%,48.5%,1.5%,2.3%,9.8%,"276,236",29.4%,49.9%,1.8%,6.1%,12.7%,,"9,528",26.4%,28,57,6,92,35,,"16,389",40.6%,,8.0%,7.6%,5.5%,19.4%,"6,647",61.2%,71.1%,,"173,396",5.7%,5.3%,45.4%,22.4%,21.2%,,"487,903",2.1%,4.4%,28.9%,24.2%,9.1%,19.6%,11.6%,93.5%,31.2%,,"533,474",11.0%,,"704,133",13.1%,"178,146",4.6%,"429,814",11.7%,"96,173",35.4%,,"724,931",85.2%,14.8%,14.2%,7.9%,6.3%,2.3%,4.1%,0.6%,,"733,971",92.2%,89.9%,43.0%,46.9%,2.4%,7.8%,,"57,131",61.6%,38.4%,,"74,391","17,260",34.6%,65.4%,"57,131",32.2%,67.8%,,"57,131",13.9%,54.3%,4.7%,6.4%,16.1%,4.5%,,"686,146",84.4%,15.6%,4.3%,3.4%,0.8%,2.0%,0.5%,5.9%,2.4%,4.2%,0.6%,,"733,971",3.5%,0.2%,0.4%,0.6%,1.3%,9.5%,1.8%,0.7%,13.8%,0.3%,0.3%,9.4%,2.6%,0.1%,3.0%,1.7%,0.2%,0.9%,1.1%,2.1%,0.1%,0.7%,2.1%,0.3%,0.3%,0.7%,0.2%,,"267,865",96.6%,90.6%
,2014-2018 Estimates,,"253,462",49.7%,21.8%,8.2%,3.0%,20.8%,2.0%,14.0%,3.1%,21.4%,4.6%,11.7%,4.2%,34.9%,21.7%,2.81,3.39,,"711,117",35.6%,17.7%,2.9%,31.8%,6.9%,5.1%,,"305,263",38.2%,48.1%,1.5%,1.9%,10.3%,"276,664",29.4%,49.8%,2.0%,5.8%,13.1%,,"10,777",29.1%,35,62,23,103,29,,"17,074",39.1%,,8.5%,8.6%,5.4%,16.6%,"6,677",57.2%,75.7%,,"187,142",5.6%,5.6%,42.7%,21.5%,24.6%,,"477,727",2.6%,4.7%,28.0%,27.1%,8.4%,18.4%,10.8%,92.7%,29.2%,,"535,244",12.6%,,"714,106",12.0%,"185,685",3.6%,"451,328",10.9%,"77,093",39.1%,,"728,151",81.7%,18.3%,17.5%,10.6%,7.0%,2.5%,4.4%,0.7%,,"738,516",92.2%,89.8%,41.5%,48.4%,2.4%,7.8%,,"57,399",57.1%,42.9%,,"75,091","17,692",19.7%,80.3%,"57,399",21.2%,78.8%,,"57,399",14.3%,55.6%,4.2%,3.2%,17.7%,5.0%,,"684,276",83.8%,16.2%,4.9%,3.6%,0.9%,2.3%,0.5%,5.7%,2.6%,4.7%,0.8%,,"738,516",3.8%,0.1%,0.4%,0.7%,1.5%,7.9%,2.7%,0.7%,14.9%,0.3%,0.3%,9.8%,2.7%,0.1%,3.2%,2.1%,0.3%,1.3%,1.3%,2.3%,0.1%,0.7%,2.1%,0.4%,0.4%,0.8%,0.2%,,"253,462",93.3%,84.3%
,    Statistical Significance,,*,*,*,,,,*,*,*,*,*,*,*,*,*,*,*,,c,*,*,*,*,,*,,*,,,,*,,,,,,,,,*,,*,,*,,,,,,,,,,*,,*,,,*,,,*,*,*,,*,*,,*,*,*,*,*,*,*,,,*,,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,,,c,,,*,*,,,,,*,*,,,,*,*,,*,*,,,,,,*,,,,*,*,*,*,,,,,,,*,*,,c,,,,,*,*,*,,*,,,,,,,*,*,*,*,*,,,,,,*,,,*,*,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,2019-2023 Estimates,,"2,796,790",47.0%,17.0%,8.2%,2.7%,18.6%,1.4%,12.8%,4.3%,26.2%,4.6%,14.7%,7.6%,29.3%,34.0%,2.54,3.12,,"7,105,986",39.4%,18.4%,3.3%,27.9%,7.4%,3.6%,,"2,961,044",37.1%,48.6%,1.2%,2.7%,10.4%,"2,999,822",30.4%,46.6%,1.7%,8.0%,13.3%,,"87,489",35.0%,32,53,12,86,33,,"163,211",31.1%,,5.7%,5.8%,5.3%,14.4%,"50,788",61.3%,66.8%,,"1,712,264",4.5%,4.9%,41.9%,22.5%,26.2%,,"4,990,633",4.7%,6.3%,23.5%,23.8%,9.2%,20.0%,12.6%,89.1%,32.6%,,"5,648,592",8.1%,,"7,154,961",13.6%,"1,592,319",4.9%,"4,232,194",11.0%,"1,330,448",32.2%,,"7,197,987",85.1%,14.9%,14.2%,8.9%,5.3%,1.7%,3.6%,0.6%,,"7,268,175",87.1%,85.7%,39.5%,46.2%,1.4%,12.9%,,"935,586",48.2%,51.8%,,"1,038,967","103,381",24.7%,75.3%,"935,586",25.1%,74.9%,,"935,586",9.3%,21.1%,4.3%,0.6%,60.4%,4.3%,,"6,868,676",74.3%,25.7%,7.8%,19.2%,6.1%,2.0%,0.4%,2.1%,0.8%,2.3%,0.6%,,"7,268,175",4.0%,0.5%,0.4%,0.5%,1.0%,9.8%,1.9%,0.4%,12.7%,0.3%,0.3%,8.8%,4.2%,0.2%,1.6%,2.1%,0.3%,0.6%,0.7%,1.7%,0.1%,0.8%,1.3%,0.3%,0.2%,0.6%,0.2%,,"2,796,790",95.9%,90.4%
