Country,Continent,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Afghanistan","Asia/Pacific","AFG","National","AFGt","Total",0.016,0.021,0.019,0.014,0.017,0.016,0.015,0.017,0.017,0.014,0.009,0.010,0.013,0.015,0.013,0.015,0.015,0.014,0.012,0.017,0.015,0.015,0.016,0.015,0.015,0.017,0.014,0.014,0.013,0.018,0.017,0.010,0.014
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr101","Central (Kabul, Wardak, Kapisa, Logar, Parwan, Panjsher)",0.014,0.020,0.018,0.012,0.016,0.015,0.014,0.018,0.016,0.013,0.008,0.009,0.013,0.014,0.012,0.015,0.015,0.014,0.012,0.018,0.015,0.014,0.017,0.016,0.015,0.017,0.014,0.013,0.013,0.019,0.017,0.011,0.014
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr102","Central Highlands (Bamyan, Daikundi)",0.014,0.019,0.016,0.011,0.014,0.012,0.012,0.015,0.014,0.011,0.007,0.006,0.011,0.012,0.011,0.012,0.014,0.012,0.010,0.016,0.012,0.013,0.015,0.011,0.013,0.015,0.012,0.013,0.011,0.016,0.015,0.008,0.010
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr103","East (Nangarhar, Kunar, Laghman, Nooristan)",0.030,0.036,0.037,0.027,0.035,0.034,0.030,0.034,0.031,0.029,0.020,0.024,0.026,0.031,0.025,0.030,0.033,0.028,0.027,0.030,0.033,0.029,0.031,0.032,0.030,0.035,0.026,0.027,0.026,0.032,0.033,0.023,0.029
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr104","North (Samangan, Sar-e-Pul, Balkh, Jawzjan, Faryab)",0.013,0.018,0.015,0.015,0.013,0.012,0.012,0.013,0.015,0.013,0.008,0.007,0.013,0.016,0.013,0.012,0.012,0.011,0.008,0.016,0.012,0.012,0.014,0.012,0.013,0.015,0.011,0.011,0.011,0.014,0.014,0.008,0.011
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr105","North East (Baghlan, Takhar, Badakhshan, Kunduz)",0.019,0.026,0.023,0.023,0.022,0.019,0.021,0.018,0.024,0.023,0.016,0.015,0.021,0.023,0.022,0.019,0.018,0.018,0.016,0.024,0.023,0.018,0.020,0.017,0.019,0.023,0.019,0.018,0.019,0.019,0.019,0.016,0.019
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr106","South (Uruzgan, Helmand, Zabul, Nimroz, Kandahar)",0.008,0.011,0.010,0.004,0.006,0.006,0.006,0.008,0.007,0.005,0.002,0.002,0.003,0.004,0.004,0.008,0.005,0.007,0.005,0.007,0.004,0.007,0.006,0.005,0.005,0.005,0.004,0.005,0.003,0.009,0.008,0.001,0.005
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr107","South East (Ghazni, Paktya, Paktika, Khost)",0.015,0.020,0.018,0.011,0.017,0.016,0.012,0.018,0.015,0.011,0.009,0.009,0.010,0.013,0.011,0.017,0.015,0.016,0.013,0.016,0.015,0.014,0.017,0.017,0.015,0.016,0.014,0.013,0.011,0.020,0.018,0.009,0.015
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr108","West (Ghor, Herat, Badghis, Farah)",0.011,0.016,0.015,0.011,0.009,0.010,0.011,0.012,0.011,0.010,0.006,0.004,0.009,0.009,0.007,0.010,0.010,0.009,0.007,0.012,0.008,0.010,0.011,0.008,0.009,0.011,0.008,0.009,0.007,0.013,0.011,0.004,0.007
"Albania","Europe","ALB","National","ALBt","Total",0.032,0.038,0.032,0.036,0.030,0.046,0.050,0.032,0.042,0.043,0.032,0.039,0.041,0.038,0.050,0.049,0.036,0.036,0.037,0.050,0.063,0.028,0.046,0.046,0.046,0.038,0.051,0.038,0.051,0.042,0.038,0.051,0.041
"Albania","Europe","ALB","Subnat","ALBr201"," Berat",0.024,0.032,0.027,0.031,0.025,0.035,0.041,0.024,0.033,0.033,0.025,0.030,0.037,0.030,0.037,0.041,0.030,0.029,0.028,0.042,0.052,0.026,0.039,0.036,0.039,0.036,0.040,0.031,0.048,0.034,0.030,0.043,0.030
"Albania","Europe","ALB","Subnat","ALBr202"," Diber",0.035,0.040,0.035,0.036,0.032,0.052,0.050,0.034,0.046,0.048,0.034,0.042,0.043,0.042,0.055,0.052,0.040,0.037,0.039,0.054,0.064,0.030,0.045,0.047,0.047,0.039,0.053,0.042,0.053,0.041,0.040,0.055,0.044
"Albania","Europe","ALB","Subnat","ALBr203"," Durres",0.035,0.041,0.032,0.039,0.030,0.047,0.051,0.032,0.045,0.043,0.034,0.041,0.042,0.038,0.053,0.053,0.037,0.037,0.040,0.053,0.067,0.029,0.052,0.052,0.051,0.035,0.056,0.041,0.050,0.045,0.041,0.051,0.044
"Albania","Europe","ALB","Subnat","ALBr204"," Elbasan",0.026,0.033,0.028,0.031,0.025,0.039,0.042,0.028,0.037,0.036,0.027,0.034,0.036,0.033,0.042,0.044,0.032,0.030,0.030,0.042,0.056,0.026,0.038,0.037,0.040,0.034,0.043,0.032,0.048,0.035,0.032,0.046,0.033
"Albania","Europe","ALB","Subnat","ALBr205"," Fier",0.023,0.031,0.025,0.031,0.023,0.034,0.038,0.024,0.031,0.032,0.024,0.028,0.037,0.028,0.036,0.041,0.029,0.028,0.030,0.042,0.049,0.024,0.040,0.037,0.039,0.032,0.041,0.029,0.041,0.036,0.030,0.038,0.029
"Albania","Europe","ALB","Subnat","ALBr206"," Gjirokaster",0.030,0.041,0.033,0.037,0.033,0.042,0.054,0.031,0.040,0.044,0.032,0.036,0.045,0.041,0.048,0.052,0.036,0.036,0.036,0.052,0.069,0.030,0.050,0.050,0.048,0.047,0.052,0.041,0.056,0.043,0.037,0.056,0.040
"Albania","Europe","ALB","Subnat","ALBr207"," Korce",0.022,0.028,0.025,0.025,0.023,0.032,0.036,0.023,0.030,0.029,0.021,0.026,0.030,0.030,0.033,0.036,0.027,0.026,0.024,0.037,0.046,0.022,0.032,0.031,0.033,0.031,0.036,0.027,0.041,0.029,0.026,0.040,0.029
"Albania","Europe","ALB","Subnat","ALBr208"," Kukes",0.037,0.040,0.037,0.039,0.036,0.055,0.055,0.041,0.048,0.053,0.038,0.048,0.043,0.046,0.060,0.054,0.042,0.043,0.041,0.054,0.064,0.032,0.045,0.047,0.049,0.040,0.057,0.045,0.054,0.045,0.045,0.057,0.048
"Albania","Europe","ALB","Subnat","ALBr209"," Lezhe",0.038,0.043,0.037,0.039,0.034,0.055,0.055,0.035,0.050,0.050,0.037,0.045,0.043,0.043,0.060,0.053,0.041,0.039,0.042,0.054,0.071,0.028,0.050,0.053,0.051,0.037,0.060,0.043,0.051,0.045,0.044,0.054,0.049
"Albania","Europe","ALB","Subnat","ALBr210"," Shkoder",0.049,0.053,0.048,0.049,0.044,0.070,0.073,0.046,0.060,0.063,0.051,0.061,0.053,0.054,0.075,0.065,0.050,0.051,0.052,0.065,0.090,0.035,0.059,0.067,0.062,0.044,0.074,0.053,0.064,0.059,0.056,0.068,0.063
"Albania","Europe","ALB","Subnat","ALBr211"," Tirana",0.031,0.038,0.031,0.037,0.027,0.043,0.046,0.030,0.041,0.041,0.031,0.038,0.039,0.036,0.047,0.049,0.035,0.033,0.036,0.047,0.062,0.028,0.046,0.045,0.044,0.034,0.050,0.037,0.049,0.039,0.037,0.048,0.039
