ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,55.87,2.37,85,53.5
AL-003,Baldwin County,Alabama,62.56,0.67,69,61.89
AL-005,Barbour County,Alabama,49.59,-2.71,52,52.3
AL-007,Bibb County,Alabama,56.64,1.47,77,55.17
AL-009,Blount County,Alabama,60.16,4.65,93,55.51
AL-011,Bullock County,Alabama,52.84,0.76,72,52.08
AL-013,Butler County,Alabama,56.85,1.14,75,55.71
AL-015,Calhoun County,Alabama,56.66,3.34,87,53.32
AL-017,Chambers County,Alabama,51.23,-2.06,60,53.29
AL-019,Cherokee County,Alabama,58.79,5.27,94,53.52
AL-021,Chilton County,Alabama,56.51,2.35,84,54.16
AL-023,Choctaw County,Alabama,58.98,2.17,84,56.81
AL-025,Clarke County,Alabama,58.63,0.73,74,57.9
AL-027,Clay County,Alabama,61.37,5.58,98,55.79
AL-029,Cleburne County,Alabama,57.49,3.6,88,53.89
AL-031,Coffee County,Alabama,49.44,-6.76,34,56.2
AL-033,Colbert County,Alabama,58.91,5.36,92,53.55
AL-035,Conecuh County,Alabama,55.27,-2.74,54,58.01
AL-037,Coosa County,Alabama,62.27,7.66,107,54.61
AL-039,Covington County,Alabama,52.79,-5.84,39,58.63
AL-041,Crenshaw County,Alabama,54.95,-0.42,71,55.37
AL-043,Cullman County,Alabama,59.53,3.46,79,56.07
AL-045,Dale County,Alabama,49.26,-5.13,39,54.39
AL-047,Dallas County,Alabama,56.83,4.03,93,52.8
AL-049,DeKalb County,Alabama,62.07,6.63,96,55.44
AL-051,Elmore County,Alabama,59.45,6.02,101,53.43
AL-053,Escambia County,Alabama,55.02,-5.41,38,60.43
AL-055,Etowah County,Alabama,58.53,4.13,85,54.4
AL-057,Fayette County,Alabama,58.73,2.49,80,56.24
AL-059,Franklin County,Alabama,63.08,8.38,103,54.7
AL-061,Geneva County,Alabama,53.06,-4.15,48,57.21
AL-063,Greene County,Alabama,59.68,6.74,103,52.94
AL-065,Hale County,Alabama,58.48,4.77,96,53.71
AL-067,Henry County,Alabama,50.81,-2.51,55,53.32
AL-069,Houston County,Alabama,53.22,-0.93,62,54.15
AL-071,Jackson County,Alabama,61.93,7.17,97,54.76
AL-073,Jefferson County,Alabama,60.04,4.55,89,55.49
AL-075,Lamar County,Alabama,58.94,3.99,83,54.95
AL-077,Lauderdale County,Alabama,56.25,2.26,83,53.99
AL-079,Lawrence County,Alabama,59.48,6.07,94,53.41
AL-081,Lee County,Alabama,51.8,-0.48,67,52.28
AL-083,Limestone County,Alabama,56.32,2.59,82,53.73
AL-085,Lowndes County,Alabama,56.56,4.2,92,52.36
AL-087,Macon County,Alabama,54.18,2.46,83,51.72
AL-089,Madison County,Alabama,60.47,6.1,94,54.37
AL-091,Marengo County,Alabama,58.5,4.32,95,54.18
AL-093,Marion County,Alabama,62.73,7.14,94,55.59
AL-095,Marshall County,Alabama,62.96,8.58,107,54.38
AL-097,Mobile County,Alabama,64.06,1.58,73,62.48
AL-099,Monroe County,Alabama,55.92,-1.32,61,57.24
AL-101,Montgomery County,Alabama,58.83,6.72,102,52.11
AL-103,Morgan County,Alabama,57.12,3.16,83,53.96
AL-105,Perry County,Alabama,57.93,4.37,92,53.56
AL-107,Pickens County,Alabama,58.63,5.25,96,53.38
AL-109,Pike County,Alabama,50.36,-4.01,46,54.37
AL-111,Randolph County,Alabama,54.18,-0.46,63,54.64
AL-113,Russell County,Alabama,48.38,-1.46,61,49.84
AL-115,St. Clair County,Alabama,60.93,5.87,96,55.07
AL-117,Shelby County,Alabama,61.53,6.7,104,54.83
AL-119,Sumter County,Alabama,56.97,2.87,84,54.1
AL-121,Talladega County,Alabama,62.22,8.57,109,53.65
AL-123,Tallapoosa County,Alabama,55.64,1.42,77,54.22
AL-125,Tuscaloosa County,Alabama,57.24,1.85,79,55.39
AL-127,Walker County,Alabama,63.26,6.76,97,56.5
AL-129,Washington County,Alabama,63.54,3.86,83,59.68
AL-131,Wilcox County,Alabama,57.01,2.76,84,54.25
AL-133,Winston County,Alabama,65.39,8.97,104,56.42
AZ-001,Apache County,Arizona,14,0.55,95,13.45
AZ-003,Cochise County,Arizona,17.79,3.16,111,14.63
AZ-005,Coconino County,Arizona,12.31,-1.28,53,13.59
AZ-007,Gila County,Arizona,16.92,-3.8,33,20.72
AZ-009,Graham County,Arizona,16.1,0.86,85,15.24
AZ-011,Greenlee County,Arizona,18.57,1.8,90,16.77
AZ-012,La Paz County,Arizona,5.95,-0.01,71,5.96
AZ-013,Maricopa County,Arizona,8.63,-0.63,62,9.26
AZ-015,Mohave County,Arizona,8.5,-2.07,39,10.57
AZ-017,Navajo County,Arizona,13.57,1.23,101,12.34
AZ-019,Pima County,Arizona,12.33,-0.17,79,12.5
AZ-021,Pinal County,Arizona,11.96,-0.56,75,12.52
AZ-023,Santa Cruz County,Arizona,20.96,2.53,107,18.43
AZ-025,Yavapai County,Arizona,13.58,-2.69,42,16.27
AZ-027,Yuma County,Arizona,3.23,-1.65,25,4.88
AR-001,Arkansas County,Arkansas,44.69,-6.34,32,51.03
AR-003,Ashley County,Arkansas,51.68,-1.45,69,53.13
AR-005,Baxter County,Arkansas,51.44,8.06,102,43.38
AR-007,Benton County,Arkansas,48.82,3.52,86,45.3
AR-009,Boone County,Arkansas,46.09,2.44,83,43.65
AR-011,Bradley County,Arkansas,55.07,3,83,52.07
AR-013,Calhoun County,Arkansas,56.4,4.68,90,51.72
AR-015,Carroll County,Arkansas,46.17,1.5,81,44.67
AR-017,Chicot County,Arkansas,52.68,-0.34,73,53.02
AR-019,Clark County,Arkansas,52.58,0.94,81,51.64
AR-021,Clay County,Arkansas,52.89,5.14,95,47.75
AR-023,Cleburne County,Arkansas,54.32,4.34,88,49.98
AR-025,Cleveland County,Arkansas,56.65,5.04,91,51.61
AR-027,Columbia County,Arkansas,51.03,-0.23,74,51.26
AR-029,Conway County,Arkansas,49.1,0.1,66,49
AR-031,Craighead County,Arkansas,53.49,5.03,94,48.46
AR-033,Crawford County,Arkansas,49.37,1.67,77,47.7
AR-035,Crittenden County,Arkansas,54.73,4.8,89,49.93
AR-037,Cross County,Arkansas,54.72,4.39,95,50.33
AR-039,Dallas County,Arkansas,55.39,4.02,91,51.37
AR-041,Desha County,Arkansas,49.83,-1.69,64,51.52
AR-043,Drew County,Arkansas,53.02,0.35,73,52.67
AR-045,Faulkner County,Arkansas,50.81,0.53,70,50.28
AR-047,Franklin County,Arkansas,49.66,1.58,77,48.08
AR-049,Fulton County,Arkansas,49.67,4.45,86,45.22
AR-051,Garland County,Arkansas,51.52,-1.09,67,52.61
AR-053,Grant County,Arkansas,54.86,3.35,87,51.51
AR-055,Greene County,Arkansas,52.73,5.02,96,47.71
AR-057,Hempstead County,Arkansas,51.8,1.11,73,50.69
AR-059,Hot Spring County,Arkansas,50.31,-2.06,59,52.37
AR-061,Howard County,Arkansas,52.44,0.39,72,52.05
AR-063,Independence County,Arkansas,54.37,6.04,99,48.33
AR-065,Izard County,Arkansas,52.15,6.43,96,45.72
AR-067,Jackson County,Arkansas,53.22,4.54,98,48.68
AR-069,Jefferson County,Arkansas,52.33,1.13,79,51.2
AR-071,Johnson County,Arkansas,55.77,6.36,97,49.41
AR-073,Lafayette County,Arkansas,50.96,0.95,75,50.01
AR-075,Lawrence County,Arkansas,57.16,9.75,113,47.41
AR-077,Lee County,Arkansas,56.62,5.58,97,51.04
AR-079,Lincoln County,Arkansas,52.07,-0.2,72,52.27
AR-081,Little River County,Arkansas,49.29,0.5,72,48.79
AR-083,Logan County,Arkansas,48.16,1.37,75,46.79
AR-085,Lonoke County,Arkansas,50.68,0.61,73,50.07
AR-087,Madison County,Arkansas,48.86,1.21,78,47.65
AR-089,Marion County,Arkansas,47.19,4.24,89,42.95
AR-091,Miller County,Arkansas,49.28,0.22,69,49.06
AR-093,Mississippi County,Arkansas,51.44,2.94,84,48.5
AR-095,Monroe County,Arkansas,48.99,-1.55,62,50.54
AR-097,Montgomery County,Arkansas,55.03,2.56,84,52.47
AR-099,Nevada County,Arkansas,52.33,1.15,75,51.18
AR-101,Newton County,Arkansas,46.5,-1.69,61,48.19
AR-103,Ouachita County,Arkansas,51.78,0.33,75,51.45
AR-105,Perry County,Arkansas,49.34,0.37,69,48.97
AR-107,Phillips County,Arkansas,49.67,-1.98,59,51.65
AR-109,Pike County,Arkansas,53.7,0.72,73,52.98
AR-111,Poinsett County,Arkansas,52.87,3.8,89,49.07
AR-113,Polk County,Arkansas,55.5,2.66,81,52.84
AR-115,Pope County,Arkansas,51.14,1.8,78,49.34
AR-117,Prairie County,Arkansas,50.41,0.33,70,50.08
AR-119,Pulaski County,Arkansas,50.29,-0.41,68,50.7
AR-121,Randolph County,Arkansas,54.4,7.21,103,47.19
AR-123,St. Francis County,Arkansas,55.82,4.96,92,50.86
AR-125,Saline County,Arkansas,53.33,1.18,79,52.15
AR-127,Scott County,Arkansas,52.56,4.21,86,48.35
AR-129,Searcy County,Arkansas,48.43,2.02,76,46.41
AR-131,Sebastian County,Arkansas,50.56,5.18,94,45.38
AR-133,Sevier County,Arkansas,48.95,-1.74,63,50.69
AR-135,Sharp County,Arkansas,53.65,6.71,102,46.94
AR-137,Stone County,Arkansas,53.09,5.52,97,47.57
AR-139,Union County,Arkansas,53.17,0.87,74,52.3
AR-141,Van Buren County,Arkansas,51.71,1.22,76,50.49
AR-143,Washington County,Arkansas,47.8,0.71,74,47.09
AR-145,White County,Arkansas,52.77,2.58,80,50.19
AR-147,Woodruff County,Arkansas,51.27,1.39,74,49.88
AR-149,Yell County,Arkansas,50.6,2.38,83,48.22
CA-001,Alameda County,California,14.46,-4.29,33,18.75
CA-003,Alpine County,California,30.45,-5.69,43,36.14
CA-005,Amador County,California,28.74,-6.49,39,35.23
CA-007,Butte County,California,24.81,-19.6,9,44.41
CA-009,Calaveras County,California,26.35,-7.92,35,34.27
CA-011,Colusa County,California,11.52,-10.48,9,22
CA-013,Contra Costa County,California,13.45,-5.04,30,18.49
CA-015,Del Norte County,California,52.9,-27.09,7,79.99
CA-017,El Dorado County,California,36.22,-8.42,35,44.64
CA-019,Fresno County,California,12.23,-7.37,14,19.6
CA-021,Glenn County,California,12.31,-13.57,5,25.88
CA-023,Humboldt County,California,41.02,-22.37,9,63.39
CA-025,Imperial County,California,2.17,-1.21,32,3.38
CA-027,Inyo County,California,3.8,-2.44,20,6.24
CA-029,Kern County,California,5.27,-3.78,15,9.05
CA-031,Kings County,California,4.48,-3.13,15,7.61
CA-033,Lake County,California,24.21,-19.25,11,43.46
CA-035,Lassen County,California,13.3,-7.1,10,20.4
CA-037,Los Angeles County,California,7.64,-7.92,17,15.56
CA-039,Madera County,California,14.2,-8.92,14,23.12
CA-041,Marin County,California,20.98,-14.5,14,35.48
CA-043,Mariposa County,California,21.53,-11.28,19,32.81
CA-045,Mendocino County,California,32.21,-19.4,12,51.61
CA-047,Merced County,California,7.77,-3.5,25,11.27
CA-049,Modoc County,California,14.82,-3.25,33,18.07
CA-051,Mono County,California,13.07,-2.56,40,15.63
CA-053,Monterey County,California,13.56,-6.54,23,20.1
CA-055,Napa County,California,17.18,-13.92,12,31.1
CA-057,Nevada County,California,37.87,-12.5,28,50.37
CA-059,Orange County,California,6.64,-6.91,14,13.55
CA-061,Placer County,California,35.57,-10.2,32,45.77
CA-063,Plumas County,California,26.16,-15.05,14,41.21
CA-065,Riverside County,California,4.45,-4.04,12,8.49
