ID,Name,State,Value,Anomaly (1925-2000 base period),Rank,1925-2000 Mean
AK-013,Aleutians East Borough,Alaska,39.4,2.7,92,36.6
AK-016,Aleutians West Census Area,Alaska,40,2.1,92,37.9
AK-020,Anchorage Municipality,Alaska,33.9,2.4,85,31.5
AK-050,Bethel Census Area,Alaska,32.8,3.7,89,29.1
AK-060,Bristol Bay Borough,Alaska,37.9,3.6,91,34.3
AK-063,Chugach Census Area,Alaska,33.9,2.1,83,31.8
AK-066,Copper River Census Area,Alaska,26.2,2.4,86,23.8
AK-068,Denali Borough,Alaska,27.6,2.4,83,25.2
AK-070,Dillingham Census Area,Alaska,35.7,3.8,89,31.9
AK-090,Fairbanks North Star Borough,Alaska,28.1,1.7,70,26.4
AK-100,Haines Borough,Alaska,34.5,1.3,79,33.2
AK-105,Hoonah-Angoon Census Area,Alaska,37.5,1.2,77,36.3
AK-110,Juneau City and Borough,Alaska,34.3,0.9,69,33.4
AK-122,Kenai Peninsula Borough,Alaska,35,2.8,87,32.2
AK-130,Ketchikan Gateway Borough,Alaska,40.4,0.6,62,39.8
AK-150,Kodiak Island Borough,Alaska,40.2,3.6,94,36.6
AK-158,Kusilvak Census Area,Alaska,31.5,3.4,86,28.1
AK-164,Lake and Peninsula Borough,Alaska,37.2,3.3,90,33.9
AK-170,Matanuska-Susitna Borough,Alaska,30.7,2.8,90,27.9
AK-180,Nome Census Area,Alaska,26.8,3.2,86,23.5
AK-185,North Slope Borough,Alaska,16.5,3.2,83,13.3
AK-188,Northwest Arctic Borough,Alaska,22.9,2.3,74,20.6
AK-195,Petersburg Borough,Alaska,36.5,0.7,61,35.8
AK-198,Prince of Wales-Hyder Census Area,Alaska,43,0.6,62,42.4
AK-220,Sitka City and Borough,Alaska,41,1.6,82,39.5
AK-230,Skagway Municipality,Alaska,31.5,1.5,79,30
AK-240,Southeast Fairbanks Census Area,Alaska,25.1,1.4,69,23.7
AK-275,Wrangell City and Borough,Alaska,39.9,0.5,59,39.4
AK-282,Yakutat City and Borough,Alaska,34.1,2.1,86,32
AK-290,Yukon-Koyukuk Census Area,Alaska,26.2,2.4,81,23.8
